full_name,element_type,total_points,minutes_points,bonus,goals_scored_points,assists_points,penalty_misses_points,own_goals_points,goals_conceded_points,saves_points,penalty_saves_points,clean_sheet_points,yellow_cards_points,red_cards_points
Folarin Balogun,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Cédric Alves Soares,DEF,3,3,0,0,0,0,0,0,0,0,0,0,0
Mohamed Elneny,MID,6,3,0,0,3,0,0,0,0,0,0,0,0
Fábio Ferreira Vieira,MID,24,12,0,5,9,0,0,0,0,0,1,0,-3
Gabriel dos Santos Magalhães,DEF,149,69,8,18,3,0,-2,-7,0,0,64,-4,0
Kai Havertz,MID,180,65,15,65,30,0,0,0,0,0,16,-11,0
Gabriel Fernando de Jesus,FWD,85,44,10,16,21,0,0,0,0,0,0,-6,0
Jorge Luiz Frello Filho,MID,44,34,1,0,6,0,0,0,0,0,4,-1,0
Jakub Kiwior,DEF,67,30,1,6,9,0,0,-2,0,0,24,-1,0
Marcus Oliveira Alencar,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Martinelli Silva,MID,118,58,6,30,15,0,0,0,0,0,10,-1,0
Eddie Nketiah,FWD,71,37,5,20,12,0,0,0,0,0,0,-3,0
Martin Ødegaard,MID,186,70,26,40,33,0,0,0,0,0,19,-2,0
Thomas Partey,MID,24,22,0,0,0,0,0,0,0,0,5,-3,0
Nicolas Pépé,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Ramsdale,GK,20,12,0,0,0,0,0,-1,1,0,8,0,0
Rúnar Alex Rúnarsson,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,MID,226,69,29,80,36,0,0,0,0,0,16,-4,0
William Saliba,DEF,164,76,13,12,3,0,0,-8,0,0,72,-4,0
Emile Smith Rowe,MID,25,16,0,0,6,0,0,0,0,0,3,0,0
Kieran Tierney,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,DEF,70,32,4,12,3,0,0,-2,0,0,24,0,-3
Leandro Trossard,MID,138,51,11,60,6,0,0,0,0,0,12,-2,0
Benjamin White,DEF,182,72,14,24,15,0,0,-7,0,0,72,-8,0
Granit Xhaka,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,DEF,104,45,16,6,6,0,0,-3,0,0,36,-2,0
David Raya Martin,GK,135,64,6,0,0,0,0,-7,5,5,64,-2,0
Declan Rice,MID,165,74,17,35,27,0,0,0,0,0,17,-5,0
Reiss Nelson,MID,16,16,0,0,0,0,0,0,0,0,1,-1,0
Jurriën Timber,DEF,0,2,0,0,0,0,0,0,0,0,0,-2,0
Karl Hein,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Sagoe,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Reuell Walters,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley Ibrahim,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Myles Lewis-Skelly,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Nwaneri,MID,1,1,0,0,0,0,0,0,0,0,0,0,0
Mauro Bandeira,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
James Sweet,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Moreno Lopera,DEF,49,31,5,12,0,0,-2,-7,0,0,12,-2,0
Leon Bailey,MID,148,54,11,50,33,0,0,0,0,0,5,-5,0
Emiliano Buendía Stati,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Matty Cash,DEF,64,51,4,12,6,0,-2,-11,0,0,12,-8,0
Calum Chambers,DEF,6,6,0,0,3,0,0,-2,0,0,0,-1,0
Philippe Coutinho Correia,MID,2,2,0,0,0,0,0,0,0,0,0,0,0
Keinan Davis,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Leander Dendoncker,MID,20,9,3,5,3,0,0,0,0,0,0,0,0
Diego Carlos Santos Silva,DEF,55,46,1,0,0,0,0,-12,0,0,24,-4,0
Lucas Digne,DEF,85,58,5,6,12,0,0,-13,0,0,24,-7,0
Douglas Luiz Soares de Paulo,MID,148,69,25,45,15,0,0,0,0,0,6,-12,0
Jhon Durán,FWD,50,25,7,20,3,0,0,0,0,0,0,-5,0
Kortney Hause,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Iroegbunam,MID,10,10,0,0,0,0,0,0,0,0,0,0,0
Boubacar Kamara,MID,40,39,1,0,3,0,0,0,0,0,7,-7,-3
Ezri Konsa Ngoyo,DEF,91,69,7,6,3,0,0,-17,0,0,28,-5,0
Emiliano Martínez Romero,GK,115,67,19,0,0,0,-4,-15,20,0,32,-4,0
John McGinn,MID,119,70,9,30,15,0,0,0,0,0,7,-9,-3
Tyrone Mings,DEF,0,1,0,0,0,0,0,-1,0,0,0,0,0
Robin Olsen,GK,17,9,3,0,0,0,0,-5,5,5,0,0,0
Jaden Philogene-Bidace,MID,1,1,0,0,0,0,0,0,0,0,0,0,0
Jacob Ramsey,MID,29,23,0,5,3,0,0,0,0,0,0,-2,0
Morgan Sanson,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Viljami Sinisalo,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Youri Tielemans,MID,77,46,2,10,18,0,0,0,0,0,4,-3,0
Bertrand Traoré,MID,2,2,0,0,0,0,0,0,0,0,0,0,0
Ollie Watkins,FWD,228,73,29,76,54,0,0,0,0,0,0,-4,0
